Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
Artisan du Chocolat,Bali,600,2010,72%,U.K.,3.5,N/A,Indonesia
Artisan du Chocolat,Brazil Rio Doce,363,2009,72%,U.K.,1.75,N/A,Brazil
Bahen & Co.,Houseblend,1474,2015,80%,Australia,3.25,N/A, 
Bahen & Co.,Papua New Guinea,1474,2015,70%,Australia,3.5,N/A,Papua New Guinea
Bahen & Co.,Bahia,999,2012,70%,Australia,2.5,N/A,Brazil
Bakau,"Bambamarca, 2015",1454,2015,70%,Peru,2.75,N/A,Peru
Bakau,"Huallabamba, 2015",1454,2015,70%,Peru,3.5,N/A,Peru
Bar Au Chocolat,Bahia,1554,2015,70%,U.S.A.,3.5,N/A,Brazil
Bar Au Chocolat,Duarte Province,983,2012,70%,U.S.A.,3.25,N/A,Dominican Republic
Bar Au Chocolat,Chiapas,983,2012,70%,U.S.A.,3.5,N/A,Mexico
Baravelli's,single estate,955,2012,80%,Wales,2.75,N/A,Costa Rica
Batch,"Dominican Republic, Batch 3",1840,2016,65%,U.S.A.,3.5,N/A,Domincan Republic
Batch,Brazil,1868,2016,70%,U.S.A.,3.75,N/A,Brazil
Batch,Ecuador,1880,2016,65%,U.S.A.,3.25,N/A,Ecuador
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73%,U.K.,3,N/A,Malaysia
Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72%,U.K.,3.25,N/A,Malaysia
Beehive,"Brazil, Batch 20316",1784,2016,80%,U.S.A.,2.75,N/A,Brazil
Beehive,"Dominican Republic, Batch 31616",1784,2016,70%,U.S.A.,2.75,N/A,Domincan Republic
Beehive,"Ecuador, Batch 31516",1784,2016,70%,U.S.A.,2.75,N/A,Ecuador
Beehive,Ecuador,1788,2016,90%,U.S.A.,2.75,N/A,Ecuador
Belcolade,Costa Rica,586,2010,64%,Belgium,2.75,N/A,Costa Rica
Belcolade,Papua New Guinea,586,2010,64%,Belgium,2.75,N/A,Papua New Guinea
Belcolade,Peru,586,2010,64%,Belgium,2.75,N/A,Peru
Belcolade,Ecuador,586,2010,71%,Belgium,3.5,N/A,Ecuador
Bellflower,"Alto Beni, Palos Blanco",1804,2016,70%,U.S.A.,3.25,N/A,Bolivia
Bellflower,"Oko Caribe, Duarte P.",1864,2016,70%,U.S.A.,3.5,N/A,Domincan Republic
Bernachon,Nature,797,2012,55%,France,2.75,N/A, 
Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72%,Switzerland,3.5,N/A,Venezuela
Beschle (Felchlin),Ecuador,636,2011,72%,Switzerland,4,N/A,Ecuador
Beschle (Felchlin),"Java, Grand Cru",508,2010,64%,Switzerland,3.5,N/A,Indonesia
Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72%,Switzerland,3.5,N/A,Venezuela
Bisou,"Nicaragua, American style",1482,2015,76%,U.S.A.,2.5,N/A,Nicaragua
Bisou,"San Andres, American style",1486,2015,76%,U.S.A.,2.5,N/A,Costa Rica
Bisou,"San Andres, silk",1486,2015,78%,U.S.A.,2.5,N/A,Costa Rica
Bittersweet Origins,"Bali, Singaraja",478,2010,75%,U.S.A.,3.25,N/A,Indonesia
Bittersweet Origins,"Bali, Singaraja",558,2010,65%,U.S.A.,2.75,N/A,Indonesia
Bittersweet Origins,Puerto Plata,414,2009,75%,U.S.A.,3,N/A,Dominican Republic
Bittersweet Origins,Puerto Plata,414,2009,65%,U.S.A.,3.5,N/A,Dominican Republic
Bittersweet Origins,Bocas del Toro,233,2008,75%,U.S.A.,3.5,N/A,Panama
Bittersweet Origins,Puerto Plata,233,2008,68%,U.S.A.,3.75,N/A,Dominican Republic
Black Mountain,La Red,256,2008,70%,U.S.A.,2.75,N/A,Dominican Republic
Black Mountain,Matiguas,256,2008,70%,U.S.A.,3,N/A,Nicaragua
Blanxart,Organic Dark,322,2009,72%,Spain,2.75,N/A, 
Blue Bandana,Lachua,1752,2016,75%,U.S.A.,2.75,N/A,Guatemala
Blue Bandana,Kokoa Kamili,1752,2016,75%,U.S.A.,3.5,N/A,Tanzania
Blue Bandana,Zorzal Reserva,1756,2016,75%,U.S.A.,3,N/A,Dominican Republic
Blue Bandana,Guatemala,911,2012,70%,U.S.A.,3.5,N/A,Guatemala
Bonnat,Selva Maya,1912,2016,75%,France,3.5,N/A,Mexico
Bonnat,Kaori,1339,2014,75%,France,4,N/A,Brazil
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75%,France,3.25,N/A,Dominican Republic
Bonnat,Surfin,1418,2014,65%,France,3.75,N/A,"Venez,Africa,Brasil,Peru,Mex"
Bonnat,Maragnam,1038,2013,75%,France,3.5,N/A,Brazil
Bonnat,Gabon,1042,2013,75%,France,3.25,N/A,Gabon
Bonnat,"Cusco, Cacao Cusco",629,2011,75%,France,3.5,N/A,Peru
Bonnat,Libanio,629,2011,75%,France,3.75,N/A,Brazil
Bonnat,Haiti,629,2011,75%,France,4,N/A,Haiti
Bonnat,Juliana,672,2011,75%,France,3.5,N/A,Brazil
Bonnat,Ivory Coast,331,2009,75%,France,3,N/A,Ivory Coast
Bonnat,"Ocumare, Puerto Cabello",32,2006,75%,France,4,N/A,Venezuela
Bonnat,One Hundred,81,2006,100%,France,1.5,N/A, 
Bonnat,Ceylan,81,2006,75%,France,3,N/A,Sri Lanka
Bowler Man,Conacado,1271,2014,70%,U.S.A.,2.75,N/A,Dominican Republic
Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70%,U.S.A.,3.75,N/A,Nicaragua
Brasstown aka It's Chocolate,Conacado,1462,2015,68%,U.S.A.,3.75,N/A,Dominican Republic
Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70%,U.S.A.,3.25,N/A,Ecuador
Brazen,Elvesia P.,1514,2015,60%,U.S.A.,3,N/A,Dominican Republic
Brazen,Elvesia P.,1514,2015,80%,U.S.A.,3.25,N/A,Dominican Republic
Brazen,"Alta Verapaz, 2014",1514,2015,70%,U.S.A.,3.5,N/A,Guatemala
Brazen,Ambolikapiky P.,1518,2015,80%,U.S.A.,2.75,N/A,Madagascar
Brazen,Ambolikapkly P.,1518,2015,60%,U.S.A.,3.25,N/A,Madagascar
Bright,Marabel Farms,1231,2014,70%,Australia,3.5,N/A,Dominican Republic
Bright,"Camino Verde, Balao, Guayas",1231,2014,72%,Australia,3.5,N/A,Ecuador
Britarev,Ecuador,1638,2015,70%,Russia,3.25,N/A,Ecuador
Bronx Grrl Chocolate,Dominican Republic,1181,2013,68%,U.S.A.,2.75,N/A,Dominican Republic
Burnt Fork Bend,Mindo,1299,2014,72%,U.S.A.,3.5,N/A,Ecuador
Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60%,U.S.A.,2.5,N/A,Ecuador
Cacao Arabuco,Puerto Rico,1606,2015,70%,Puerto Rico,2.5,N/A,Puerto Rico
Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75%,U.S.A.,2.5,N/A,Dominican Republic
Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75%,U.S.A.,2.75,N/A,Dominican Republic
Cacao Atlanta,Patanemo,600,2010,75%,U.S.A.,2.25,N/A,Venezuela
Cacao Barry,Santo Domingo,586,2010,70%,France,3,N/A,Dominican Republic
Cacao Barry,Tanzania,300,2008,75%,France,2,N/A,Tanzania
Cacao Barry,Venezuela,141,2007,72%,France,2,N/A,Venezuela
Cacao Barry,Mexico,147,2007,66%,France,3,N/A,Mexico
Cacao de Origen,Agua Fria; Sucre region,1391,2014,75%,Venezuela,2.5,N/A,Venezuela
Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,74%,Venezuela,3.25,N/A,Venezuela
Cacao de Origin,Hacienda la Trinidad,1668,2015,74%,Venezuela,3.25,N/A,Venezuela
Cacao Hunters,Macondo,1816,2016,71%,Colombia,3.75,N/A,Colombia
Cacao Hunters,Perla Negra,1816,2016,74%,Colombia,3.75,N/A,Colombia
Cacao Hunters,Arhuacos,1662,2015,72%,Colombia,3.75,N/A,Colombia
Cacao Hunters,Sierra Nevada,1430,2014,64%,Colombia,3.5,N/A,Colombia
Cacao Hunters,Tumaco,1430,2014,70%,Colombia,3.5,N/A,Colombia
Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434,2014,69%,Colombia,2.75,N/A,Colombia
Cacao Hunters,Arauca,1434,2014,70%,Colombia,3.25,N/A,Colombia
Cacao Prieto,"Dominican Republicm, rustic",641,2011,72%,U.S.A.,3,N/A,Dominican Republic
Cacao Prieto,Dominican Republic,641,2011,66%,U.S.A.,3.75,N/A,Dominican Republic
Cacao Prieto,"Dominican Republic, rustic",647,2011,65%,U.S.A.,3.25,N/A,Dominican Republic
Cacao Sampaka,Ecuador,523,2010,71%,Spain,3.75,N/A,Ecuador
Cacao Sampaka,Papua,523,2010,71%,Spain,4,N/A,Papua New Guinea
Cacao Sampaka,Venezuela,537,2010,71%,Spain,3.5,N/A,Venezuela
Cacao Sampaka,Venezuela,537,2010,77%,Spain,3.5,N/A,Venezuela
Cacao Store,Peru,1684,2015,70%,Japan,3.25,N/A,Peru
Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,70%,Peru,3.25,N/A,Peru
Callebaut,Baking,141,2007,70%,Belgium,1,N/A,Ecuador
C-Amaro,Cuba,1442,2014,75%,Italy,2.5,N/A,Cuba
C-Amaro,Dominican Republic,1442,2014,72%,Italy,3,N/A,Dominican Republic
C-Amaro,Ecuador,1185,2013,100%,Italy,3.5,N/A,Ecuador
C-Amaro,Venezuela,809,2012,80%,Italy,3,N/A,Venezuela
Cao,Tanzania,1804,2016,73%,U.S.A.,2.75,N/A,Tanzania
Cao,Bolivia,1808,2016,75%,U.S.A.,3,N/A,Bolivia
Captain Pembleton,Kulili Estate,1263,2014,70%,New Zealand,3.75,N/A,Papua New Guinea
Caribeans,"Antigua, Special Reserve",1582,2015,72%,Costa Rica,3.5,N/A,Guatemala
Caribeans,"Talamanca, Raul-Kekoldo community",1586,2015,72%,Costa Rica,3.25,N/A,Costa Rica
Caribeans,Anselmo Paraiso Estate,1586,2015,72%,Costa Rica,3.5,N/A,Costa Rica
Castronovo,"Piaroa, Amazonas, Batch 350",1574,2015,72%,U.S.A.,3.5,N/A,Venezuela
Castronovo,"Guaniamo, Amazonas",1105,2013,70%,U.S.A.,3.25,N/A,Venezuela
Castronovo,Guaniamo,1153,2013,72%,U.S.A.,3,N/A,Venezuela
Cello,Ecuador,1247,2014,70%,U.S.A.,2.5,N/A,Ecuador
Cello,Peru,1247,2014,70%,U.S.A.,2.75,N/A,Peru
Cello,Venezuela,1251,2014,70%,U.S.A.,2.75,N/A,Venezuela
Cello,Bolivia,1251,2014,70%,U.S.A.,3,N/A,Bolivia
Cemoi,Equateur,404,2009,72%,France,2.75,N/A,Ecuador
Charm School,Maya Mtn,1900,2016,70%,U.S.A.,3.25,N/A,Belize
Chequessett,la Amistad,1235,2014,70%,U.S.A.,3.5,N/A,Costa Rica
Chloe Chocolat,Blend No. 1,672,2011,70%,France,3.5,N/A, 
Chocablog,Ecuador,1454,2015,70%,U.K.,3.25,N/A,Ecuador
Chocolarder,Dominican Republic,1514,2015,80%,U.K.,2.5,N/A,Dominican Republic
Chocola'te,Venezuela,647,2011,68%,U.S.A.,3.75,N/A,Venezuela
Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772,2016,90%,U.S.A.,2.5,N/A,Peru
Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",1772,2016,80%,U.S.A.,2.5,N/A, 
Chocolate Con Amor,Wild Bolivian,1760,2016,70%,U.S.A.,2.5,N/A,Bolivia
Chocolate Con Amor,Uganda,1760,2016,70%,U.S.A.,2.75,N/A,Uganda
Chocolate Con Amor,Dominican Republic,1764,2016,60%,U.S.A.,3,N/A,Dominican Republic
Chocolate Con Amor,Dominican Republic,1764,2016,75%,U.S.A.,3,N/A,Dominican Republic
Chocolate Con Amor,Ecuador,1764,2016,70%,U.S.A.,3.25,N/A,Ecuador
Chocolate Con Amor,Nicaragua,1768,2016,80%,U.S.A.,2.75,N/A,Nicaragua
Chocolate Conspiracy,Peru,1259,2014,74%,U.S.A.,2.75,N/A,Peru
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",682,2011,65%,Canada,3.25,N/A,Mexico
Chocovic,Kendari,439,2009,60%,Spain,3.25,N/A, 
Chocovic,Tarakan,439,2009,75%,Spain,3.25,N/A, 
Choklat,Brazilian,377,2009,70%,Canada,3,N/A,Brazil
Choklat,Brazilian,377,2009,80%,Canada,3,N/A,Brazil
Chokolat Elot (Girard),Guadeloupe,1149,2013,42%,Martinique,2.75,N/A,Martinique
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",1832,2016,75%,Canada,3.25,N/A,Mexico
Cloudforest,"Camino Verde P., Balao, Guayas, 2014",1486,2015,73%,U.S.A.,3.5,N/A,Ecuador
Compania de Chocolate (Salgado),Sur del Lago,579,2010,70%,Argentina,3.25,N/A,Venezuela
Compania de Chocolate (Salgado),Moxos,292,2008,72%,Argentina,3.25,N/A,Bolivia
Condor,Camino Verde,1630,2015,76%,U.S.A.,3.5,N/A,Ecuador
Coppeneur,Ecuador Puristique,817,2012,100%,Germany,1.5,N/A,Ecuador
Cote d' Or (Kraft),Sensations Intense,48,2006,70%,Belgium,1,N/A, 
Daintree,Goodman Estate,1654,2015,70%,Australia,2.75,N/A,Australia
Daintree,"Daintree Estates, N. Queensland",785,2011,70%,Australia,3.25,N/A,Australia
Dalloway,"Dominican Republic, batch 7",1928,2017,72%,U.S.A.,2.75,N/A,Dominican Republic
Damson,Los Rios,1610,2015,70%,U.K.,3.5,N/A,Ecuador
Damson,Crayfish Bay aka Non Pariel Estate,1666,2015,70%,U.K.,2.25,N/A,Grenada
Damson,O'Payo,1666,2015,70%,U.K.,2.75,N/A,Nicaragua
Dandelion,"Zorzal Reserva, 2015 H., Kerchner",1816,2016,70%,U.S.A.,3.75,N/A, 
Dandelion,"Camino Verde P., Balao, Guayas, 2013",1295,2014,70%,U.S.A.,3.5,N/A,Ecuador
Dandelion,Buto,1303,2014,70%,U.S.A.,2.75,N/A,Liberia
Dandelion,"San Francisco de Macoris, Cibao region",1387,2014,70%,U.S.A.,3.75,N/A,Dominican Republic
Dandelion,"Cumboto, farmer Jose Lugo",1026,2013,70%,U.S.A.,2.75,N/A,Venezuela
Dandelion,Patanemo,1026,2013,70%,U.S.A.,3.25,N/A,Venezuela
Dandelion,"Mantuano, 2012",1085,2013,70%,U.S.A.,3.5,N/A,Venezuela
Dandelion,Papua New Guinea,1153,2013,70%,U.S.A.,3.5,N/A,Papua New Guinea
Dandelion,Upala,805,2012,70%,U.S.A.,3,N/A,Costa Rica
Dandelion,Colombian,805,2012,70%,U.S.A.,3.25,N/A,Colombia
Dandelion,"Elvesia, 2011",915,2012,70%,U.S.A.,3.75,N/A,Dominican Republic
Dandelion,Dominican Republic,654,2011,70%,U.S.A.,3.25,N/A,Dominican Republic
Dandelion,Tanzania,654,2011,70%,U.S.A.,3.25,N/A,Tanzania
Danta,Los Ujuxtes,1223,2014,82%,Guatemala,3.25,N/A,Guatemala
Danta,Los Ujuxtes,987,2012,70%,Guatemala,3.75,N/A,Guatemala
Danta,"Oscuro, Finca Chimelb",991,2012,70%,Guatemala,3.25,N/A,Guatemala
Danta,Los Ujuxtes,661,2011,60%,Guatemala,3.5,N/A,Guatemala
DAR,"Venezuela, batch 122",1920,2016,72%,U.S.A.,2.75,N/A,Venezuela
DAR,"DUO, batch 002",1920,2016,70%,U.S.A.,3.25,N/A,"Ecuador, Costa Rica"
Dark Forest,Bolivia,1708,2016,75%,U.S.A.,3.25,N/A,Bolivia
Dark Forest,Ocumare,1550,2015,70%,U.S.A.,3.25,N/A,Venezuela
Dark Forest,Tanzania,1554,2015,70%,U.S.A.,3,N/A,Tanzania
Dark Forest,Ecuador,1554,2015,70%,U.S.A.,3.25,N/A,Ecuador
Davis,Rainforest,1093,2013,70%,U.S.A.,2.75,N/A,Dominican Republic
Davis,Venezuela,1093,2013,70%,U.S.A.,2.75,N/A,Venezuela
De Mendes,"Nativo, Varzea",1462,2015,72%,Brazil,3.5,N/A,Brazil
De Mendes,"Selvagem, Jari",1462,2015,65%,Brazil,3.5,N/A,Brazil
De Villiers,"Sambirano Valley, batch 2477",1832,2016,70%,South Africa,3,N/A,Madagascar
Dean and Deluca (Belcolade),Costa Rica,175,2007,64%,U.S.A.,3,N/A,Costa Rica
Dean and Deluca (Belcolade),Ecuador,175,2007,71%,U.S.A.,3,N/A,Ecuador
Dean and Deluca (Belcolade),Papua New Guinea,180,2007,64%,U.S.A.,3,N/A,Papua New Guinea
Dean and Deluca (Belcolade),Peru,180,2007,64%,U.S.A.,3,N/A,Peru
Debauve & Gallais (Michel Cluizel),Papua New Guinea,423,2009,64%,France,3,N/A,Papua New Guinea
Debauve & Gallais (Michel Cluizel),Venezuela,263,2008,66%,France,3.75,N/A,Venezuela
Desbarres,"Kilombero, batch 41",1916,2016,72%,Canada,2.5,N/A,Tanzania
DeVries,Bolivian,241,2008,80%,U.S.A.,2.75,N/A,Bolivia
DeVries,Dominican Republic,166,2007,77%,U.S.A.,3.5,N/A,Dominican Republic
Dick Taylor,Lanquin Estate,1952,2017,70%,U.S.A.,3.75,N/A,Guatemala
Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",1634,2015,70%,U.S.A.,3.75,N/A,Bolivia
Dick Taylor,Elvesia,1235,2014,74%,U.S.A.,3.5,N/A,Dominican Republic
Dick Taylor,"Ecuador, Choc. Garage Exclusive",1034,2013,70%,U.S.A.,3.25,N/A,Ecuador
Dick Taylor,Camino Verde,1193,2013,76%,U.S.A.,3.5,N/A,Ecuador
Dick Taylor,Bolivia,895,2012,75%,U.S.A.,2.75,N/A,Bolivia
Dick Taylor,La Red,769,2011,74%,U.S.A.,3,N/A,Dominican Republic
Dick Taylor,Ecuador,769,2011,70%,U.S.A.,3.25,N/A,Ecuador
Doble & Bignall,Puerto Cabello,1688,2015,85%,U.K.,3,N/A,Venezuela
Doble & Bignall,"Panama, Raven",1371,2014,72%,U.K.,3.25,N/A,Panama
Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,70%,U.S.A.,3.75,N/A,Hawaii
Dolfin (Belcolade),Noir,63,2006,70%,Belgium,1.5,N/A, 
Domori,Hacienda Victoria,1672,2015,70%,Italy,3.75,N/A,Ecuador
Domori,Morogoro,863,2012,70%,Italy,3.5,N/A,Tanzania
Domori,Teyuna,272,2008,70%,Italy,3,N/A,Colombia
Duffy's,Ocumare,923,2012,72%,U.K.,3.75,N/A,Venezuela
Duffy's,Dominican Republic,661,2011,65%,U.K.,3.5,N/A,Dominican Republic
Duffy's,"Bocas del Toro, Tierra Oscura",697,2011,72%,U.K.,3,N/A,Panama
Duffy's,Ocumare,765,2011,71%,U.K.,3.5,N/A,Venezuela
Duffy's,Panama,516,2010,70%,U.K.,3.5,N/A,Panama
Duffy's,"Corazon del Ecuador, Calceta beans",516,2010,72%,U.K.,3.75,N/A,Ecuador
Duffy's,Star of Ecuador,523,2010,70%,U.K.,2.5,N/A,Ecuador
Duffy's,Star of Peru,523,2010,70%,U.K.,3.75,N/A,Peru
Dulcinea,Dominican Republic,1506,2015,70%,U.S.A.,3.25,N/A,Dominican Republic
Durci,Taino Secret,1630,2015,70%,U.S.A.,3.25,N/A,Domincan Republic
Durci,Corona Arriba,1630,2015,70%,U.S.A.,4,N/A,Ecuador
East Van Roasters,Peru,1343,2014,70%,Canada,3.25,N/A,Peru
East Van Roasters,Dominican Republic,1343,2014,70%,Canada,3.75,N/A,Dominican Republic
Eau de Rose,Tumaco,1812,2016,70%,Canada,3.25,N/A,Colombia
Eau de Rose,Arauca,1812,2016,70%,Canada,3.25,N/A,Colombia
El Ceibo,"Alto Beni, Covendo Region",709,2011,75%,Bolivia,3.75,N/A,Bolivia
El Ceibo,Alto Beni,252,2008,71%,Bolivia,2.75,N/A,Bolivia
El Rey,San Joaquin,1662,2015,70%,Venezuela,3.75,N/A,Venezuela
Emerald Estate,Emerald Estate,1137,2013,60%,St. Lucia,2.75,N/A,St. Lucia
Emerald Estate,Emerald Estate,1137,2013,70%,St. Lucia,3.25,N/A,St. Lucia
Emily's,Patanemo,1450,2015,79%,Japan,3,N/A,Venezuela
ENNA,"Wampusirpi, batch 007",1916,2016,75%,U.S.A.,3.25,N/A,Honduras
Escazu,Guapiles,414,2009,65%,U.S.A.,2,N/A,Costa Rica
Escazu,"Carenero, Guapiles, Ocumare blend",431,2009,74%,U.S.A.,2.75,N/A,"Cost Rica, Ven"
Ethel's Artisan (Mars),"Peru, Madagascar",666,2011,55%,U.S.A.,2.5,N/A,"Peru, Madagascar"
Ethel's Artisan (Mars),Red Vanilla,666,2011,62%,U.S.A.,2.75,N/A, 
Ethel's Artisan (Mars),"Venezuela, Trinidad",672,2011,62%,U.S.A.,2.5,N/A,"Venezuela, Trinidad"
Ethereal,Ecuador,1275,2014,80%,U.S.A.,3.5,N/A,Ecuador
Ethereal,Dominican Republic,1275,2014,80%,U.S.A.,3.75,N/A,Dominican Republic
Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic",565,2010,75%,U.S.A.,2.75,N/A,Brazil
Feitoria Cacao,Blue Mountain,1732,2016,76%,Portugal,3,N/A,Jamaica
Feitoria Cacao,Cuyagua,1736,2016,76%,Portugal,2.5,N/A,Venezuela
Felchlin,Supremo- SF,105,2006,62%,Switzerland,2,N/A, 
Finca,Puerto Rico,1283,2014,65%,U.S.A.,2.25,N/A,Puerto Rico
Finca,Dominican Republic,1283,2014,80%,U.S.A.,3,N/A,Dominican Republic
Finca,Dominican Republic,1283,2014,70%,U.S.A.,3.25,N/A,Dominican Republic
Finca,Dominican Republic,1287,2014,85%,U.S.A.,2.5,N/A,Dominican Republic
