,Company (Maker-if known),Specific Bean Origin or Bar Name,REF,Review Date,Cocoa Percent,Company Location,Rating,Broad Bean Origin
27,Altus aka Cao Artisan,Bolivia,1133,2013,60,U.S.A.,3,Bolivia
28,Altus aka Cao Artisan,Peru,1133,2013,60,U.S.A.,3.25,Peru
29,Amano,Morobe,725,2011,70,U.S.A.,4,Papua New Guinea
30,Amano,Dos Rios,470,2010,70,U.S.A.,3.75,Dominican Republic
31,Amano,Guayas,470,2010,70,U.S.A.,4,Ecuador
32,Amano,Montanya,363,2009,70,U.S.A.,3,Venezuela
33,Amano,"Bali, Jembrana",304,2008,70,U.S.A.,2.75,Indonesia
34,Amano,Cuyagua,147,2007,70,U.S.A.,3,Venezuela
35,Amatller (Simon Coll),Ecuador,327,2009,70,Spain,2.75,Ecuador
36,Amatller (Simon Coll),Ecuador,464,2009,85,Spain,2.75,Ecuador
37,Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72,Peru,3.25,Peru
38,Ambrosia,Dominican Republic,1498,2015,75,Canada,3.25,Dominican Republic
39,Ambrosia,Papua New Guinea,1498,2015,63,Canada,3.25,Papua New Guinea
40,Ambrosia,Venezuela,1498,2015,70,Canada,3.25,Venezuela
41,Ambrosia,Peru,1498,2015,68,Canada,3.5,Peru
42,Amedei,"Piura, Blanco de Criollo",979,2012,70,Italy,3.75,Peru
43,Anahata,Elvesia,1259,2014,75,U.S.A.,3,Dominican Republic
44,Animas,Alto Beni,1852,2016,75,U.S.A.,3.5,Bolivia
45,Ara,Chiapas,1379,2014,72,France,2.5,Mexico
46,Ara,Equateur,1379,2014,75,France,2.75,Ecuador
47,Ara,Trincheras,1379,2014,75,France,3,Venezuela
48,Arete,Kokoa Kamili,1724,2016,70,U.S.A.,3.75,Tanzania
49,Arete,Hacienda Victoria,1904,2016,70,U.S.A.,3.25,Ecuador
50,Arete,Costa Esmeraldas,1904,2016,70,U.S.A.,3.25,Ecuador
51,Arete,Lachua,1904,2016,70,U.S.A.,3.5,Guatemala
52,Arete,Rugoso,1904,2016,70,U.S.A.,3.75,Nicaragua
53,Arete,"La Masica, FHIA",1908,2016,70,U.S.A.,3.5,Honduras
54,Arete,"Coto Brus, Terciopelo",1908,2016,70,U.S.A.,4,Costa Rica
55,Arete,Elvesia,1928,2016,70,U.S.A.,3.75,Dominican Republic
56,Arete,Matasawalevu,1928,2016,70,U.S.A.,3.25,Fiji
57,Arete,Lam Dong,1928,2016,73,U.S.A.,3.25,Vietnam
58,Arete,Fazenda Camboa,1534,2015,70,U.S.A.,3.5,Brazil
59,Arete,Oko Caribe,1598,2015,70,U.S.A.,3.5,Domincan Republic
60,Arete,Fazenda Camboa,1602,2015,75,U.S.A.,2.75,Brazil
61,Arete,Guatemala,1602,2015,70,U.S.A.,3.25,Guatemala
62,Arete,Camino Verde,1602,2015,75,U.S.A.,3.5,Ecuador
63,Artisan du Chocolat,"Colombia, Casa Luker",947,2012,72,U.K.,3.75,Colombia
64,Artisan du Chocolat,Haiti,729,2011,72,U.K.,4,Haiti
65,Artisan du Chocolat,Panama,745,2011,72,U.K.,2.75,Panama
66,Artisan du Chocolat,Venezuela,486,2010,100,U.K.,1.75,Venezuela
67,Artisan du Chocolat,Costa Rica,600,2010,72,U.K.,3.25,Costa Rica
68,Artisan du Chocolat,Bali,600,2010,72,U.K.,3.5,Indonesia
69,Artisan du Chocolat,Brazil Rio Doce,363,2009,72,U.K.,1.75,Brazil
70,Bahen & Co.,Houseblend,1474,2015,80,Australia,3.25, 
71,Bahen & Co.,Papua New Guinea,1474,2015,70,Australia,3.5,Papua New Guinea
72,Bahen & Co.,Bahia,999,2012,70,Australia,2.5,Brazil
73,Bakau,"Bambamarca, 2015",1454,2015,70,Peru,2.75,Peru
74,Bakau,"Huallabamba, 2015",1454,2015,70,Peru,3.5,Peru
75,Bar Au Chocolat,Bahia,1554,2015,70,U.S.A.,3.5,Brazil
76,Bar Au Chocolat,Duarte Province,983,2012,70,U.S.A.,3.25,Dominican Republic
77,Bar Au Chocolat,Chiapas,983,2012,70,U.S.A.,3.5,Mexico
78,Baravelli's,single estate,955,2012,80,Wales,2.75,Costa Rica
79,Batch,"Dominican Republic, Batch 3",1840,2016,65,U.S.A.,3.5,Domincan Republic
80,Batch,Brazil,1868,2016,70,U.S.A.,3.75,Brazil
81,Batch,Ecuador,1880,2016,65,U.S.A.,3.25,Ecuador
82,Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",1948,2017,73,U.K.,3,Malaysia
83,Beau Cacao,"Serian E., NW Borneo, b. #134/3800",1948,2017,72,U.K.,3.25,Malaysia
84,Beehive,"Brazil, Batch 20316",1784,2016,80,U.S.A.,2.75,Brazil
85,Beehive,"Dominican Republic, Batch 31616",1784,2016,70,U.S.A.,2.75,Domincan Republic
86,Beehive,"Ecuador, Batch 31516",1784,2016,70,U.S.A.,2.75,Ecuador
87,Beehive,Ecuador,1788,2016,90,U.S.A.,2.75,Ecuador
88,Belcolade,Costa Rica,586,2010,64,Belgium,2.75,Costa Rica
89,Belcolade,Papua New Guinea,586,2010,64,Belgium,2.75,Papua New Guinea
90,Belcolade,Peru,586,2010,64,Belgium,2.75,Peru
91,Belcolade,Ecuador,586,2010,71,Belgium,3.5,Ecuador
92,Bellflower,"Alto Beni, Palos Blanco",1804,2016,70,U.S.A.,3.25,Bolivia
93,Bellflower,"Oko Caribe, Duarte P.",1864,2016,70,U.S.A.,3.5,Domincan Republic
94,Bernachon,Nature,797,2012,55,France,2.75, 
95,Beschle (Felchlin),"Indigena Amazonia, Grand Cru, Quizas",636,2011,72,Switzerland,3.5,Venezuela
96,Beschle (Felchlin),Ecuador,636,2011,72,Switzerland,4,Ecuador
97,Beschle (Felchlin),"Java, Grand Cru",508,2010,64,Switzerland,3.5,Indonesia
98,Beschle (Felchlin),"Ocumare, Premier Cru, Quizas No. 2",508,2010,72,Switzerland,3.5,Venezuela
99,Bisou,"Nicaragua, American style",1482,2015,76,U.S.A.,2.5,Nicaragua
100,Bisou,"San Andres, American style",1486,2015,76,U.S.A.,2.5,Costa Rica
101,Bisou,"San Andres, silk",1486,2015,78,U.S.A.,2.5,Costa Rica
102,Bittersweet Origins,"Bali, Singaraja",478,2010,75,U.S.A.,3.25,Indonesia
103,Bittersweet Origins,"Bali, Singaraja",558,2010,65,U.S.A.,2.75,Indonesia
104,Bittersweet Origins,Puerto Plata,414,2009,75,U.S.A.,3,Dominican Republic
105,Bittersweet Origins,Puerto Plata,414,2009,65,U.S.A.,3.5,Dominican Republic
106,Bittersweet Origins,Bocas del Toro,233,2008,75,U.S.A.,3.5,Panama
107,Bittersweet Origins,Puerto Plata,233,2008,68,U.S.A.,3.75,Dominican Republic
108,Black Mountain,La Red,256,2008,70,U.S.A.,2.75,Dominican Republic
109,Black Mountain,Matiguas,256,2008,70,U.S.A.,3,Nicaragua
110,Blanxart,Organic Dark,322,2009,72,Spain,2.75, 
111,Blue Bandana,Lachua,1752,2016,75,U.S.A.,2.75,Guatemala
112,Blue Bandana,Kokoa Kamili,1752,2016,75,U.S.A.,3.5,Tanzania
113,Blue Bandana,Zorzal Reserva,1756,2016,75,U.S.A.,3,Dominican Republic
114,Blue Bandana,Guatemala,911,2012,70,U.S.A.,3.5,Guatemala
115,Bonnat,Selva Maya,1912,2016,75,France,3.5,Mexico
116,Bonnat,Kaori,1339,2014,75,France,4,Brazil
117,Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75,France,3.25,Dominican Republic
118,Bonnat,Surfin,1418,2014,65,France,3.75,"Venez,Africa,Brasil,Peru,Mex"
119,Bonnat,Maragnam,1038,2013,75,France,3.5,Brazil
120,Bonnat,Gabon,1042,2013,75,France,3.25,Gabon
121,Bonnat,"Cusco, Cacao Cusco",629,2011,75,France,3.5,Peru
122,Bonnat,Libanio,629,2011,75,France,3.75,Brazil
123,Bonnat,Haiti,629,2011,75,France,4,Haiti
124,Bonnat,Juliana,672,2011,75,France,3.5,Brazil
125,Bonnat,Ivory Coast,331,2009,75,France,3,Ivory Coast
126,Bonnat,"Ocumare, Puerto Cabello",32,2006,75,France,4,Venezuela
127,Bonnat,One Hundred,81,2006,100,France,1.5, 
128,Bonnat,Ceylan,81,2006,75,France,3,Sri Lanka
129,Bowler Man,Conacado,1271,2014,70,U.S.A.,2.75,Dominican Republic
130,Brasstown aka It's Chocolate,"O'payo, Waslala",1868,2016,70,U.S.A.,3.75,Nicaragua
131,Brasstown aka It's Chocolate,Conacado,1462,2015,68,U.S.A.,3.75,Dominican Republic
132,Brasstown aka It's Chocolate,"Camino Verde, Guayas",1125,2013,70,U.S.A.,3.25,Ecuador
133,Brazen,Elvesia P.,1514,2015,60,U.S.A.,3,Dominican Republic
134,Brazen,Elvesia P.,1514,2015,80,U.S.A.,3.25,Dominican Republic
135,Brazen,"Alta Verapaz, 2014",1514,2015,70,U.S.A.,3.5,Guatemala
136,Brazen,Ambolikapiky P.,1518,2015,80,U.S.A.,2.75,Madagascar
137,Brazen,Ambolikapkly P.,1518,2015,60,U.S.A.,3.25,Madagascar
138,Bright,Marabel Farms,1231,2014,70,Australia,3.5,Dominican Republic
139,Bright,"Camino Verde, Balao, Guayas",1231,2014,72,Australia,3.5,Ecuador
140,Britarev,Ecuador,1638,2015,70,Russia,3.25,Ecuador
141,Bronx Grrl Chocolate,Dominican Republic,1181,2013,68,U.S.A.,2.75,Dominican Republic
142,Burnt Fork Bend,Mindo,1299,2014,72,U.S.A.,3.5,Ecuador
143,Burnt Fork Bend,"Ecuador, Bob Bar",1323,2014,60,U.S.A.,2.5,Ecuador
144,Cacao Arabuco,Puerto Rico,1606,2015,70,Puerto Rico,2.5,Puerto Rico
145,Cacao Atlanta,"Dominican Republic, ""Love Bar""",502,2010,75,U.S.A.,2.5,Dominican Republic
146,Cacao Atlanta,Dominican Republic w/ nibs,502,2010,75,U.S.A.,2.75,Dominican Republic
147,Cacao Atlanta,Patanemo,600,2010,75,U.S.A.,2.25,Venezuela
148,Cacao Barry,Santo Domingo,586,2010,70,France,3,Dominican Republic
149,Cacao Barry,Tanzania,300,2008,75,France,2,Tanzania
150,Cacao Barry,Venezuela,141,2007,72,France,2,Venezuela
151,Cacao Barry,Mexico,147,2007,66,France,3,Mexico
152,Cacao de Origen,Agua Fria; Sucre region,1391,2014,75,Venezuela,2.5,Venezuela
153,Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,74,Venezuela,3.25,Venezuela
154,Cacao de Origin,Hacienda la Trinidad,1668,2015,74,Venezuela,3.25,Venezuela
155,Cacao Hunters,Macondo,1816,2016,71,Colombia,3.75,Colombia
156,Cacao Hunters,Perla Negra,1816,2016,74,Colombia,3.75,Colombia
157,Cacao Hunters,Arhuacos,1662,2015,72,Colombia,3.75,Colombia
158,Cacao Hunters,Sierra Nevada,1430,2014,64,Colombia,3.5,Colombia
159,Cacao Hunters,Tumaco,1430,2014,70,Colombia,3.5,Colombia
160,Cacao Hunters,"Boyaca, Aprocampa Coop, Pauna",1434,2014,69,Colombia,2.75,Colombia
161,Cacao Hunters,Arauca,1434,2014,70,Colombia,3.25,Colombia
162,Cacao Prieto,"Dominican Republicm, rustic",641,2011,72,U.S.A.,3,Dominican Republic
163,Cacao Prieto,Dominican Republic,641,2011,66,U.S.A.,3.75,Dominican Republic
164,Cacao Prieto,"Dominican Republic, rustic",647,2011,65,U.S.A.,3.25,Dominican Republic
165,Cacao Sampaka,Ecuador,523,2010,71,Spain,3.75,Ecuador
166,Cacao Sampaka,Papua,523,2010,71,Spain,4,Papua New Guinea
167,Cacao Sampaka,Venezuela,537,2010,71,Spain,3.5,Venezuela
168,Cacao Sampaka,Venezuela,537,2010,77,Spain,3.5,Venezuela
169,Cacao Store,Peru,1684,2015,70,Japan,3.25,Peru
170,Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,70,Peru,3.25,Peru
171,Callebaut,Baking,141,2007,70,Belgium,1,Ecuador
172,C-Amaro,Cuba,1442,2014,75,Italy,2.5,Cuba
173,C-Amaro,Dominican Republic,1442,2014,72,Italy,3,Dominican Republic
174,C-Amaro,Ecuador,1185,2013,100,Italy,3.5,Ecuador
175,C-Amaro,Venezuela,809,2012,80,Italy,3,Venezuela
176,Cao,Tanzania,1804,2016,73,U.S.A.,2.75,Tanzania
177,Cao,Bolivia,1808,2016,75,U.S.A.,3,Bolivia
178,Captain Pembleton,Kulili Estate,1263,2014,70,New Zealand,3.75,Papua New Guinea
179,Caribeans,"Antigua, Special Reserve",1582,2015,72,Costa Rica,3.5,Guatemala
180,Caribeans,"Talamanca, Raul-Kekoldo community",1586,2015,72,Costa Rica,3.25,Costa Rica
181,Caribeans,Anselmo Paraiso Estate,1586,2015,72,Costa Rica,3.5,Costa Rica
182,Castronovo,"Piaroa, Amazonas, Batch 350",1574,2015,72,U.S.A.,3.5,Venezuela
183,Castronovo,"Guaniamo, Amazonas",1105,2013,70,U.S.A.,3.25,Venezuela
184,Castronovo,Guaniamo,1153,2013,72,U.S.A.,3,Venezuela
185,Cello,Ecuador,1247,2014,70,U.S.A.,2.5,Ecuador
186,Cello,Peru,1247,2014,70,U.S.A.,2.75,Peru
187,Cello,Venezuela,1251,2014,70,U.S.A.,2.75,Venezuela
188,Cello,Bolivia,1251,2014,70,U.S.A.,3,Bolivia
189,Cemoi,Equateur,404,2009,72,France,2.75,Ecuador
190,Charm School,Maya Mtn,1900,2016,70,U.S.A.,3.25,Belize
191,Chequessett,la Amistad,1235,2014,70,U.S.A.,3.5,Costa Rica
192,Chloe Chocolat,Blend No. 1,672,2011,70,France,3.5, 
193,Chocablog,Ecuador,1454,2015,70,U.K.,3.25,Ecuador
194,Chocolarder,Dominican Republic,1514,2015,80,U.K.,2.5,Dominican Republic
195,Chocola'te,Venezuela,647,2011,68,U.S.A.,3.75,Venezuela
196,Chocolate Alchemist-Philly,"Tumbes, ""Zarumilla""",1772,2016,90,U.S.A.,2.5,Peru
197,Chocolate Alchemist-Philly,"Philly Blend, 5 plantations",1772,2016,80,U.S.A.,2.5, 
198,Chocolate Con Amor,Wild Bolivian,1760,2016,70,U.S.A.,2.5,Bolivia
199,Chocolate Con Amor,Uganda,1760,2016,70,U.S.A.,2.75,Uganda
200,Chocolate Con Amor,Dominican Republic,1764,2016,60,U.S.A.,3,Dominican Republic
201,Chocolate Con Amor,Dominican Republic,1764,2016,75,U.S.A.,3,Dominican Republic
202,Chocolate Con Amor,Ecuador,1764,2016,70,U.S.A.,3.25,Ecuador
203,Chocolate Con Amor,Nicaragua,1768,2016,80,U.S.A.,2.75,Nicaragua
204,Chocolate Conspiracy,Peru,1259,2014,74,U.S.A.,2.75,Peru
205,Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",682,2011,65,Canada,3.25,Mexico
206,Chocovic,Kendari,439,2009,60,Spain,3.25, 
207,Chocovic,Tarakan,439,2009,75,Spain,3.25, 
208,Choklat,Brazilian,377,2009,70,Canada,3,Brazil
209,Choklat,Brazilian,377,2009,80,Canada,3,Brazil
210,Chokolat Elot (Girard),Guadeloupe,1149,2013,42,Martinique,2.75,Martinique
211,Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",1832,2016,75,Canada,3.25,Mexico
212,Cloudforest,"Camino Verde P., Balao, Guayas, 2014",1486,2015,73,U.S.A.,3.5,Ecuador
213,Compania de Chocolate (Salgado),Sur del Lago,579,2010,70,Argentina,3.25,Venezuela
214,Compania de Chocolate (Salgado),Moxos,292,2008,72,Argentina,3.25,Bolivia
215,Condor,Camino Verde,1630,2015,76,U.S.A.,3.5,Ecuador
216,Coppeneur,Ecuador Puristique,817,2012,100,Germany,1.5,Ecuador
217,Cote d' Or (Kraft),Sensations Intense,48,2006,70,Belgium,1, 
218,Daintree,Goodman Estate,1654,2015,70,Australia,2.75,Australia
219,Daintree,"Daintree Estates, N. Queensland",785,2011,70,Australia,3.25,Australia
220,Dalloway,"Dominican Republic, batch 7",1928,2017,72,U.S.A.,2.75,Dominican Republic
221,Damson,Los Rios,1610,2015,70,U.K.,3.5,Ecuador
222,Damson,Crayfish Bay aka Non Pariel Estate,1666,2015,70,U.K.,2.25,Grenada
223,Damson,O'Payo,1666,2015,70,U.K.,2.75,Nicaragua
224,Dandelion,"Zorzal Reserva, 2015 H., Kerchner",1816,2016,70,U.S.A.,3.75, 
225,Dandelion,"Camino Verde P., Balao, Guayas, 2013",1295,2014,70,U.S.A.,3.5,Ecuador
226,Dandelion,Buto,1303,2014,70,U.S.A.,2.75,Liberia
227,Dandelion,"San Francisco de Macoris, Cibao region",1387,2014,70,U.S.A.,3.75,Dominican Republic
228,Dandelion,"Cumboto, farmer Jose Lugo",1026,2013,70,U.S.A.,2.75,Venezuela
229,Dandelion,Patanemo,1026,2013,70,U.S.A.,3.25,Venezuela
230,Dandelion,"Mantuano, 2012",1085,2013,70,U.S.A.,3.5,Venezuela
231,Dandelion,Papua New Guinea,1153,2013,70,U.S.A.,3.5,Papua New Guinea
232,Dandelion,Upala,805,2012,70,U.S.A.,3,Costa Rica
233,Dandelion,Colombian,805,2012,70,U.S.A.,3.25,Colombia
234,Dandelion,"Elvesia, 2011",915,2012,70,U.S.A.,3.75,Dominican Republic
235,Dandelion,Dominican Republic,654,2011,70,U.S.A.,3.25,Dominican Republic
236,Dandelion,Tanzania,654,2011,70,U.S.A.,3.25,Tanzania
237,Danta,Los Ujuxtes,1223,2014,82,Guatemala,3.25,Guatemala
238,Danta,Los Ujuxtes,987,2012,70,Guatemala,3.75,Guatemala
239,Danta,"Oscuro, Finca Chimelb",991,2012,70,Guatemala,3.25,Guatemala
240,Danta,Los Ujuxtes,661,2011,60,Guatemala,3.5,Guatemala
241,DAR,"Venezuela, batch 122",1920,2016,72,U.S.A.,2.75,Venezuela
242,DAR,"DUO, batch 002",1920,2016,70,U.S.A.,3.25,"Ecuador, Costa Rica"
243,Dark Forest,Bolivia,1708,2016,75,U.S.A.,3.25,Bolivia
244,Dark Forest,Ocumare,1550,2015,70,U.S.A.,3.25,Venezuela
245,Dark Forest,Tanzania,1554,2015,70,U.S.A.,3,Tanzania
246,Dark Forest,Ecuador,1554,2015,70,U.S.A.,3.25,Ecuador
247,Davis,Rainforest,1093,2013,70,U.S.A.,2.75,Dominican Republic
248,Davis,Venezuela,1093,2013,70,U.S.A.,2.75,Venezuela
249,De Mendes,"Nativo, Varzea",1462,2015,72,Brazil,3.5,Brazil
250,De Mendes,"Selvagem, Jari",1462,2015,65,Brazil,3.5,Brazil
251,De Villiers,"Sambirano Valley, batch 2477",1832,2016,70,South Africa,3,Madagascar
252,Dean and Deluca (Belcolade),Costa Rica,175,2007,64,U.S.A.,3,Costa Rica
253,Dean and Deluca (Belcolade),Ecuador,175,2007,71,U.S.A.,3,Ecuador
254,Dean and Deluca (Belcolade),Papua New Guinea,180,2007,64,U.S.A.,3,Papua New Guinea
255,Dean and Deluca (Belcolade),Peru,180,2007,64,U.S.A.,3,Peru
256,Debauve & Gallais (Michel Cluizel),Papua New Guinea,423,2009,64,France,3,Papua New Guinea
257,Debauve & Gallais (Michel Cluizel),Venezuela,263,2008,66,France,3.75,Venezuela
258,Desbarres,"Kilombero, batch 41",1916,2016,72,Canada,2.5,Tanzania
259,DeVries,Bolivian,241,2008,80,U.S.A.,2.75,Bolivia
260,DeVries,Dominican Republic,166,2007,77,U.S.A.,3.5,Dominican Republic
261,Dick Taylor,Lanquin Estate,1952,2017,70,U.S.A.,3.75,Guatemala
262,Dick Taylor,"Alto Beni, Wild Harvest, Limited Ed.",1634,2015,70,U.S.A.,3.75,Bolivia
263,Dick Taylor,Elvesia,1235,2014,74,U.S.A.,3.5,Dominican Republic
264,Dick Taylor,"Ecuador, Choc. Garage Exclusive",1034,2013,70,U.S.A.,3.25,Ecuador
265,Dick Taylor,Camino Verde,1193,2013,76,U.S.A.,3.5,Ecuador
266,Dick Taylor,Bolivia,895,2012,75,U.S.A.,2.75,Bolivia
267,Dick Taylor,La Red,769,2011,74,U.S.A.,3,Dominican Republic
268,Dick Taylor,Ecuador,769,2011,70,U.S.A.,3.25,Ecuador
269,Doble & Bignall,Puerto Cabello,1688,2015,85,U.K.,3,Venezuela
270,Doble & Bignall,"Panama, Raven",1371,2014,72,U.K.,3.25,Panama
271,Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,70,U.S.A.,3.75,Hawaii
272,Dolfin (Belcolade),Noir,63,2006,70,Belgium,1.5, 
273,Domori,Hacienda Victoria,1672,2015,70,Italy,3.75,Ecuador
274,Domori,Morogoro,863,2012,70,Italy,3.5,Tanzania
275,Domori,Teyuna,272,2008,70,Italy,3,Colombia
276,Duffy's,Ocumare,923,2012,72,U.K.,3.75,Venezuela
277,Duffy's,Dominican Republic,661,2011,65,U.K.,3.5,Dominican Republic
278,Duffy's,"Bocas del Toro, Tierra Oscura",697,2011,72,U.K.,3,Panama
279,Duffy's,Ocumare,765,2011,71,U.K.,3.5,Venezuela
280,Duffy's,Panama,516,2010,70,U.K.,3.5,Panama
281,Duffy's,"Corazon del Ecuador, Calceta beans",516,2010,72,U.K.,3.75,Ecuador
282,Duffy's,Star of Ecuador,523,2010,70,U.K.,2.5,Ecuador
283,Duffy's,Star of Peru,523,2010,70,U.K.,3.75,Peru
284,Dulcinea,Dominican Republic,1506,2015,70,U.S.A.,3.25,Dominican Republic
285,Durci,Taino Secret,1630,2015,70,U.S.A.,3.25,Domincan Republic
286,Durci,Corona Arriba,1630,2015,70,U.S.A.,4,Ecuador
287,East Van Roasters,Peru,1343,2014,70,Canada,3.25,Peru
288,East Van Roasters,Dominican Republic,1343,2014,70,Canada,3.75,Dominican Republic
289,Eau de Rose,Tumaco,1812,2016,70,Canada,3.25,Colombia
290,Eau de Rose,Arauca,1812,2016,70,Canada,3.25,Colombia
291,El Ceibo,"Alto Beni, Covendo Region",709,2011,75,Bolivia,3.75,Bolivia
292,El Ceibo,Alto Beni,252,2008,71,Bolivia,2.75,Bolivia
293,El Rey,San Joaquin,1662,2015,70,Venezuela,3.75,Venezuela
294,Emerald Estate,Emerald Estate,1137,2013,60,St. Lucia,2.75,St. Lucia
295,Emerald Estate,Emerald Estate,1137,2013,70,St. Lucia,3.25,St. Lucia
296,Emily's,Patanemo,1450,2015,79,Japan,3,Venezuela
297,ENNA,"Wampusirpi, batch 007",1916,2016,75,U.S.A.,3.25,Honduras
298,Escazu,Guapiles,414,2009,65,U.S.A.,2,Costa Rica
299,Escazu,"Carenero, Guapiles, Ocumare blend",431,2009,74,U.S.A.,2.75,"Cost Rica, Ven"
300,Ethel's Artisan (Mars),"Peru, Madagascar",666,2011,55,U.S.A.,2.5,"Peru, Madagascar"
301,Ethel's Artisan (Mars),Red Vanilla,666,2011,62,U.S.A.,2.75, 
302,Ethel's Artisan (Mars),"Venezuela, Trinidad",672,2011,62,U.S.A.,2.5,"Venezuela, Trinidad"
303,Ethereal,Ecuador,1275,2014,80,U.S.A.,3.5,Ecuador
304,Ethereal,Dominican Republic,1275,2014,80,U.S.A.,3.75,Dominican Republic
305,Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic",565,2010,75,U.S.A.,2.75,Brazil
306,Feitoria Cacao,Blue Mountain,1732,2016,76,Portugal,3,Jamaica
307,Feitoria Cacao,Cuyagua,1736,2016,76,Portugal,2.5,Venezuela
308,Felchlin,Supremo- SF,105,2006,62,Switzerland,2, 
309,Finca,Puerto Rico,1283,2014,65,U.S.A.,2.25,Puerto Rico
310,Finca,Dominican Republic,1283,2014,80,U.S.A.,3,Dominican Republic
311,Finca,Dominican Republic,1283,2014,70,U.S.A.,3.25,Dominican Republic
312,Finca,Dominican Republic,1287,2014,85,U.S.A.,2.5,Dominican Republic
313,Forteza (Cortes),Dominican Republic,1776,2016,70,Puerto Rico,2.75,Domincan Republic
314,Forteza (Cortes),Puerto Rico,1776,2016,80,Puerto Rico,2.75,Domincan Republic
315,Fossa,"Akesson's E., Sambirano V.",1772,2016,70,Singapore,2.75,Madagascar
316,Fossa,"Camino Verde P., Balao, Guayas",1776,2016,75,Singapore,3.5,Ecuador
317,Franceschi,Choroni,1355,2014,70,Venezuela,3.5,Venezuela
318,Franceschi,Ocumare,1355,2014,70,Venezuela,3.75,Venezuela
319,Franceschi,Canoabo,911,2012,70,Venezuela,3.75,Venezuela
320,Franceschi,Sur del Lago,915,2012,60,Venezuela,3.5,Venezuela
321,Frederic Blondeel,Costa Rica,1538,2015,70,Belgium,3.5,Costa Rica
322,Frederic Blondeel,Peru Brutus,1538,2015,75,Belgium,3.5,Peru
323,French Broad,"Norandino, batch 161208",1940,2017,70,U.S.A.,3.5,Peru
324,French Broad,Guatemala,1634,2015,73,U.S.A.,3.5,Guatemala
325,French Broad,San Andres,1209,2014,80,U.S.A.,3,Costa Rica
326,French Broad,Matagalpa,1295,2014,68,U.S.A.,3.25,Nicaragua
327,French Broad,"Palo Blanco, Chulucanas",1042,2013,66,U.S.A.,3.5,Peru
328,French Broad,"Palo Blanco, Chulucanas",883,2012,61,U.S.A.,3.5,Peru
329,French Broad,"Palo Blanco w/ panela, Chulucanas",887,2012,81,U.S.A.,2,Peru
330,French Broad,La Red,785,2011,65,U.S.A.,3.5,Dominican Republic
331,Fresco,"Conacado, #223, MR, SC",1030,2013,72,U.S.A.,3.25,Dominican Republic
332,Fresco,"Conacado, #224, MR, MC",1081,2013,72,U.S.A.,3.75,Dominican Republic
333,Fresco,"San Martin, Bellavista Coop, #226, DR, MC",1117,2013,70,U.S.A.,3.75,Peru
334,Fresco,"Markham Valley, #219, LR, MC",899,2012,69,U.S.A.,3.5,Papua New Guinea
